layer,channel,saturation_score,range_expansion_score,effective_dimensionality_score,aggregate_score
head,32,1.0,1.0,7.448637916240841e-05,0.6666914954597208
ln_out,15,0.21380208432674408,1.0,0.17902281880378723,0.4642749677101771
blocks.0,40,0.0014322916977107525,1.0,0.34782129526138306,0.4497511956530313
blocks.1,40,0.0014322916977107525,1.0,0.34782129526138306,0.4497511956530313
embed,40,0.0014322916977107525,1.0,0.34782129526138306,0.4497511956530313
ln_out,53,0.1953125,1.0,0.1252821534872055,0.4401982178290685
head,12,0.0017578124534338713,1.0,0.2902926206588745,0.4306834777041028
blocks.0,19,0.0006510416860692203,1.0,0.2899938225746155,0.4302149547535616
blocks.1,19,0.0006510416860692203,1.0,0.2899938225746155,0.4302149547535616
embed,19,0.0006510416860692203,1.0,0.2899938225746155,0.4302149547535616
ln_out,55,0.17115885019302368,1.0,0.05688994377851486,0.40934959799051285
blocks.0,13,0.0009765625,1.0,0.22657860815525055,0.4091850568850835
blocks.1,13,0.0009765625,1.0,0.22657860815525055,0.4091850568850835
embed,13,0.0009765625,1.0,0.22657860815525055,0.4091850568850835
blocks.0,43,0.0,1.0,0.22530882060527802,0.40843627353509265
blocks.1,43,0.0,1.0,0.22530882060527802,0.40843627353509265
embed,43,0.0,1.0,0.22530882060527802,0.40843627353509265
blocks.0,51,0.0,1.0,0.21179334819316864,0.40393111606438953
blocks.1,51,0.0,1.0,0.21179334819316864,0.40393111606438953
embed,51,0.0,1.0,0.21179334819316864,0.40393111606438953
ln_out,40,0.0074218749068677425,1.0,0.1991395205259323,0.40218713181093335
ln_out,25,0.1090494766831398,1.0,0.09274434298276901,0.4005979398886363
ln_out,10,0.0,1.0,0.1947713941335678,0.39825713137785596
ln_out,51,0.0,1.0,0.19153665006160736,0.39717888335386914
head,17,0.0,1.0,0.19014644622802734,0.3967154820760091
ln_out,54,0.14042969048023224,1.0,0.0475635901093483,0.3959977601965268
ln_out,37,0.0,1.0,0.18692071735858917,0.3956402391195297
ln_out,19,0.0064453124068677425,1.0,0.18038739264011383,0.3956109016823272
ln_out,38,0.08281250298023224,1.0,0.09725728631019592,0.3933565964301427
ln_out,14,0.0719401016831398,1.0,0.10585574060678482,0.39259861409664154
ln_out,6,0.09726562350988388,1.0,0.07803022116422653,0.3917652815580368
blocks.0,15,0.0,1.0,0.17276525497436523,0.39092175165812176
blocks.1,15,0.0,1.0,0.17276525497436523,0.39092175165812176
embed,15,0.0,1.0,0.17276525497436523,0.39092175165812176
blocks.0,0,0.0,1.0,0.17165076732635498,0.39055025577545166
blocks.1,0,0.0,1.0,0.17165076732635498,0.39055025577545166
embed,0,0.0,1.0,0.17165076732635498,0.39055025577545166
blocks.0,47,0.0,1.0,0.16888587176799774,0.3896286239226659
