layer,channel,saturation_score,range_expansion_score,effective_dimensionality_score,aggregate_score
head,22,1.0,1.0,0.0010078804334625602,0.6670026268111542
head,4,1.0,1.0,0.0009980398463085294,0.6669993466154361
head,58,1.0,1.0,0.0009784384164959192,0.6669928128054986
head,9,1.0,1.0,0.0009146467782557011,0.6669715489260852
head,35,1.0,1.0,0.0008742712088860571,0.6669580904029621
head,72,1.0,1.0,0.0005456677172333002,0.6668485559057444
head,33,1.0,1.0,0.0005451494362205267,0.6668483831454068
head,64,1.0,1.0,0.00041243224404752254,0.6668041440813491
head,2,1.0,1.0,0.00038782923365943134,0.6667959430778865
head,0,1.0,1.0,0.00033964356407523155,0.6667798811880251
head,30,1.0,1.0,0.00031818251591175795,0.6667727275053039
head,63,1.0,1.0,0.00022987154079601169,0.6667432905135987
head,57,1.0,1.0,0.00019576444174163043,0.6667319214805806
head,49,1.0,1.0,0.00013078641495667398,0.6667102621383189
head,34,1.0,1.0,0.00012946107017342,0.6667098203567244
head,32,1.0,1.0,0.00012083083129255101,0.6667069436104308
ln_out,15,0.21373698115348816,1.0,0.18052811920642853,0.46475503345330554
blocks.0,40,0.0013020833721384406,1.0,0.34540385007858276,0.44890197781690705
blocks.1,40,0.0013020833721384406,1.0,0.34540385007858276,0.44890197781690705
embed,40,0.0013020833721384406,1.0,0.34540385007858276,0.44890197781690705
ln_out,53,0.19524739682674408,1.0,0.12396157532930374,0.43973632405201596
head,12,0.0016276041278615594,1.0,0.29102620482444763,0.4308846029841031
blocks.0,19,0.0005859375232830644,1.0,0.28663119673728943,0.4290723780868575
blocks.1,19,0.0005859375232830644,1.0,0.28663119673728943,0.4290723780868575
embed,19,0.0005859375232830644,1.0,0.28663119673728943,0.4290723780868575
ln_out,55,0.17115885019302368,1.0,0.05656056851148605,0.4092398062348366
blocks.0,43,0.0,1.0,0.22612689435482025,0.40870896478494007
blocks.1,43,0.0,1.0,0.22612689435482025,0.40870896478494007
embed,43,0.0,1.0,0.22612689435482025,0.40870896478494007
blocks.0,13,0.0009765625,1.0,0.22330377995967865,0.40809344748655957
blocks.1,13,0.0009765625,1.0,0.22330377995967865,0.40809344748655957
embed,13,0.0009765625,1.0,0.22330377995967865,0.40809344748655957
blocks.0,51,0.0,1.0,0.21121086180210114,0.4037369539340337
blocks.1,51,0.0,1.0,0.21121086180210114,0.4037369539340337
embed,51,0.0,1.0,0.21121086180210114,0.4037369539340337
ln_out,40,0.007617187686264515,1.0,0.1998361051082611,0.40248443093150854
ln_out,25,0.1090494766831398,1.0,0.09347743541002274,0.4008423040310542
ln_out,51,0.0,1.0,0.19161204993724823,0.3972040166457494
ln_out,10,0.0,1.0,0.18992067873477936,0.39664022624492645
ln_out,54,0.14042969048023224,1.0,0.047449659556150436,0.3959597833454609
head,17,0.0,1.0,0.18753479421138763,0.3958449314037959
ln_out,37,0.0,1.0,0.1860976219177246,0.3953658739725749
ln_out,19,0.006640625186264515,1.0,0.1788707822561264,0.3951704691474636
ln_out,38,0.08281250298023224,1.0,0.09800602495670319,0.39360617597897846
ln_out,14,0.0719401016831398,1.0,0.10693803429603577,0.3929593786597252
blocks.0,15,0.0,1.0,0.17440669238567352,0.3914688974618912
blocks.1,15,0.0,1.0,0.17440669238567352,0.3914688974618912
embed,15,0.0,1.0,0.17440669238567352,0.3914688974618912
blocks.0,47,0.0,1.0,0.17421644926071167,0.39140548308690387
blocks.1,47,0.0,1.0,0.17421644926071167,0.39140548308690387
embed,47,0.0,1.0,0.17421644926071167,0.39140548308690387
ln_out,6,0.09726562350988388,1.0,0.07552792876958847,0.39093118409315747
blocks.0,0,0.0,1.0,0.1695147305727005,0.3898382435242335
blocks.1,0,0.0,1.0,0.1695147305727005,0.3898382435242335
embed,0,0.0,1.0,0.1695147305727005,0.3898382435242335
head,21,0.0,1.0,0.16641435027122498,0.38880478342374164
blocks.0,42,0.0,1.0,0.16439120471477509,0.3881304015715917
blocks.1,42,0.0,1.0,0.16439120471477509,0.3881304015715917
embed,42,0.0,1.0,0.16439120471477509,0.3881304015715917
head,20,0.0,1.0,0.16084299981594086,0.3869476666053136
blocks.0,62,0.0,1.0,0.15337730944156647,0.38445910314718884
blocks.1,62,0.0,1.0,0.15337730944156647,0.38445910314718884
embed,62,0.0,1.0,0.15337730944156647,0.38445910314718884
blocks.0,59,0.0,1.0,0.15236300230026245,0.38412100076675415
blocks.1,59,0.0,1.0,0.15236300230026245,0.38412100076675415
embed,59,0.0,1.0,0.15236300230026245,0.38412100076675415
ln_out,36,0.0,1.0,0.15219566226005554,0.38406522075335187
blocks.0,50,0.0,1.0,0.15005970001220703,0.38335323333740234
blocks.1,50,0.0,1.0,0.15005970001220703,0.38335323333740234
embed,50,0.0,1.0,0.15005970001220703,0.38335323333740234
ln_out,52,0.0,1.0,0.148893341422081,0.38296444714069366
ln_out,50,0.0,1.0,0.14529268443584442,0.3817642281452815
ln_out,21,0.03105468675494194,1.0,0.11317472159862518,0.38140980278452236
ln_out,43,0.04140625149011612,1.0,0.09824704378843307,0.3798844317595164
ln_out,59,0.0,1.0,0.13689425587654114,0.37896475195884705
ln_out,17,0.0963541641831398,1.0,0.03516208752989769,0.3771720839043458
ln_out,60,0.04472656175494194,1.0,0.07621888816356659,0.3736484833061695
blocks.0,31,0.0,1.0,0.1194896325469017,0.37316321084896725
blocks.1,31,0.0,1.0,0.1194896325469017,0.37316321084896725
embed,31,0.0,1.0,0.1194896325469017,0.37316321084896725
blocks.0,36,0.0,1.0,0.11835013329982758,0.3727833777666092
blocks.1,36,0.0,1.0,0.11835013329982758,0.3727833777666092
embed,36,0.0,1.0,0.11835013329982758,0.3727833777666092
ln_out,34,0.0033203125931322575,1.0,0.11099323630332947,0.3714378496321539
blocks.0,61,0.0,1.0,0.11416845768690109,0.3713894858956337
blocks.1,61,0.0,1.0,0.11416845768690109,0.3713894858956337
embed,61,0.0,1.0,0.11416845768690109,0.3713894858956337
ln_out,47,0.0,1.0,0.11386562138795853,0.37128854046265286
blocks.0,35,0.0,1.0,0.11096901446580887,0.3703230048219363
blocks.1,35,0.0,1.0,0.11096901446580887,0.3703230048219363
embed,35,0.0,1.0,0.11096901446580887,0.3703230048219363
blocks.0,38,0.0,1.0,0.1102454885840416,0.3700818295280139
blocks.1,38,0.0,1.0,0.1102454885840416,0.3700818295280139
embed,38,0.0,1.0,0.1102454885840416,0.3700818295280139
blocks.0,7,0.0,1.0,0.1091560497879982,0.36971868326266605
